Time,airheatintemp,airheatouttemp,filterAdiffpress,filterBdiffpress,millgearamps,millinletpress,milloutlettemp,systemfanamps
6/23/2023 2:23:08.000 PM,0.00,279.00,18.29,19.10,0.04,-4.36,2421.00,94.34
6/23/2023 2:23:09.404 PM,,280.00,,,,,,
6/23/2023 2:23:10.748 PM,,,,,0.00,,,
6/23/2023 2:23:40.576 PM,,,,,0.12,,,
6/23/2023 2:35:10.226 PM,,,,,,,,92.11
6/23/2023 2:35:35.898 PM,,,,18.63,,,,
6/23/2023 2:35:45.961 PM,,,17.73,,,,,
6/23/2023 2:36:40.164 PM,,274.00,,,,,,
6/23/2023 2:37:52.133 PM,,,19.05,,,,,
6/23/2023 2:37:57.133 PM,,,,19.92,,,,96.86
6/23/2023 2:38:12.101 PM,,,,,,-5.16,,
6/23/2023 2:38:37.351 PM,,,,,,-3.32,,
6/23/2023 2:39:02.351 PM,,,,,,,2372.00,
6/23/2023 2:40:18.539 PM,,,18.77,19.65,,-4.32,2374.00,95.38
6/23/2023 2:40:23.242 PM,,,,19.70,0.04,-4.53,,95.56
6/23/2023 2:40:28.179 PM,,,18.89,,0.00,,,
6/23/2023 2:40:33.117 PM,,,,,,,2376.00,
6/23/2023 2:40:48.414 PM,,,,,,,2378.00,96.68
6/23/2023 2:40:53.429 PM,,,18.98,,,,,
6/23/2023 2:41:07.461 PM,,273.00,,,,,,
6/23/2023 2:41:12.804 PM,,274.00,,,,,,
6/23/2023 2:41:23.914 PM,,,,19.79,,,,
6/23/2023 2:45:59.289 PM,,,,,0.16,,,
6/23/2023 2:47:10.258 PM,,,,,,-2.30,,
6/23/2023 2:49:01.268 PM,,,17.40,,,,,
6/23/2023 2:52:20.330 PM,,,,,,,,91.75
6/23/2023 2:52:50.596 PM,,,,18.26,,,,
6/23/2023 2:55:59.549 PM,,268.00,,,,,,
6/23/2023 2:56:45.268 PM,,,,,,-5.02,,
6/23/2023 2:57:20.346 PM,,,,,,,2292.00,95.54
6/23/2023 2:57:30.455 PM,,,18.60,19.31,0.00,-4.24,2298.00,
6/23/2023 2:57:35.440 PM,,,18.48,,0.12,-4.00,,95.56
6/23/2023 2:57:40.674 PM,,,,19.22,,,2293.00,
6/23/2023 2:57:45.393 PM,,,,,0.00,,,
6/23/2023 2:58:00.815 PM,,,,19.38,,,,
6/23/2023 2:58:04.565 PM,,269.00,,,,,,
6/23/2023 2:58:05.627 PM,,,,,,,2300.00,
6/23/2023 3:00:47.236 PM,,,,,,,,96.64
6/23/2023 3:01:16.533 PM,,,18.65,,,,,
6/23/2023 3:05:36.904 PM,,,,,,-3.05,,
6/23/2023 3:07:45.998 PM,,,,,0.24,,,
6/23/2023 3:08:00.826 PM,,,,,,-10.93,,
6/23/2023 3:12:17.669 PM,,,,,,,,90.85
6/23/2023 3:12:37.591 PM,,,17.09,,,,,
6/23/2023 3:12:42.732 PM,,,,17.43,,,,
6/23/2023 3:14:01.482 PM,,261.00,,,,,,
