Time,airheatouttemp,filterAdiffpress,filterBdiffpress,millgearamps,millinletpress,milloutlettemp,systemfanamps
6/23/2023 4:15:00.000 AM,885.00,42.14,34.47,128.21,-4.72,3005.00,111.58
6/23/2023 4:15:01.116 AM,,,,148.69,,,112.27
6/23/2023 4:15:11.273 AM,,,,,,3003.00,
6/23/2023 4:15:17.179 AM,,,,,,3010.00,
6/23/2023 4:15:25.976 AM,887.00,,,,,,
6/23/2023 4:15:27.116 AM,,42.66,35.39,,,,111.04
6/23/2023 4:15:37.101 AM,,,,,-2.67,,
6/23/2023 4:15:41.460 AM,,42.29,35.00,132.81,-4.36,3006.00,111.78
6/23/2023 4:15:45.835 AM,888.00,,,,,,
6/23/2023 4:15:47.101 AM,,41.96,34.94,140.81,-4.11,3003.00,111.72
6/23/2023 4:15:51.476 AM,,,34.77,,,3012.00,
6/23/2023 4:15:57.351 AM,,,,127.37,-2.84,,111.31
6/23/2023 4:16:06.226 AM,889.00,,,,,,
6/23/2023 4:16:07.491 AM,,,,,-4.97,,112.44
6/23/2023 4:16:11.788 AM,,43.31,,,,,
6/23/2023 4:16:22.101 AM,,42.62,35.48,134.53,-4.36,2998.00,111.40
6/23/2023 4:16:27.601 AM,,42.38,35.36,137.53,-4.43,3007.00,111.45
6/23/2023 4:16:31.804 AM,,42.81,,,,,112.81
6/23/2023 4:16:37.601 AM,,,35.91,,,,
6/23/2023 4:16:41.819 AM,,41.90,,125.25,,,
6/23/2023 4:16:46.319 AM,890.00,,,,,,
6/23/2023 4:16:47.507 AM,,,,,,3012.00,
6/23/2023 4:16:57.257 AM,,,,140.09,,,
6/23/2023 4:17:01.726 AM,,,35.15,,,3002.00,
6/23/2023 4:17:07.288 AM,,42.77,35.31,134.57,-3.49,3005.00,111.12
6/23/2023 4:17:10.710 AM,891.00,,,,,,
6/23/2023 4:17:11.788 AM,,42.81,,139.97,-4.18,3011.00,112.87
6/23/2023 4:17:17.523 AM,,,34.91,,,,
6/23/2023 4:17:20.773 AM,890.00,,,,,,
6/23/2023 4:17:21.960 AM,,43.01,35.39,,,,110.52
6/23/2023 4:17:26.491 AM,891.00,,,,,,
6/23/2023 4:17:27.663 AM,,,,,,3007.00,
6/23/2023 4:17:32.273 AM,,,,125.05,,,
6/23/2023 4:17:37.929 AM,,41.70,,,-2.57,,
6/23/2023 4:17:42.335 AM,,,34.46,,,3019.00,
6/23/2023 4:17:48.096 AM,,42.09,34.76,128.65,-4.69,3013.00,111.94
6/23/2023 4:17:52.689 AM,,42.27,34.37,121.01,-4.53,3014.00,111.24
6/23/2023 4:18:01.643 AM,892.00,,,,,,
6/23/2023 4:18:02.658 AM,,,34.20,,,,
6/23/2023 4:18:07.221 AM,891.00,,,,,,
6/23/2023 4:18:08.564 AM,,43.28,,,-4.73,,
6/23/2023 4:18:13.002 AM,,,,138.97,,,
6/23/2023 4:18:18.846 AM,,,,,,3021.00,
6/23/2023 4:18:27.252 AM,892.00,,,,,,
6/23/2023 4:18:28.580 AM,,,34.94,,,,112.87
6/23/2023 4:18:33.096 AM,,43.13,34.52,136.85,-3.95,,111.70
6/23/2023 4:18:37.596 AM,893.00,,,,,,
6/23/2023 4:18:38.893 AM,,43.50,34.58,138.05,-4.25,3018.00,112.57
6/23/2023 4:18:47.986 AM,892.00,,,,,,
6/23/2023 4:18:49.268 AM,,42.45,,,,3023.00,
6/23/2023 4:18:53.486 AM,,,,134.21,,,
6/23/2023 4:18:59.361 AM,,,34.46,,-4.80,,110.14
6/23/2023 4:19:09.205 AM,,,,,,,112.78
6/23/2023 4:19:13.502 AM,,43.82,34.98,151.50,-3.50,3022.00,111.73
6/23/2023 4:19:19.268 AM,,43.08,35.07,130.85,-3.84,3020.00,111.61
6/23/2023 4:19:22.752 AM,893.00,,,,,,
6/23/2023 4:19:23.799 AM,,,,,,,111.19
6/23/2023 4:19:29.518 AM,,,,142.69,,,
6/23/2023 4:19:33.971 AM,,,35.49,126.25,-6.32,,
6/23/2023 4:19:44.080 AM,,42.26,,,,,
6/23/2023 4:19:49.689 AM,,43.25,,,,3030.00,
6/23/2023 4:19:53.986 AM,,,34.62,,,,112.57
6/23/2023 4:19:58.627 AM,891.00,,,,,,
6/23/2023 4:19:59.893 AM,,42.84,34.85,130.13,-4.03,3024.00,111.45
6/23/2023 4:20:04.268 AM,,42.99,34.70,129.25,-4.01,,110.22
6/23/2023 4:20:10.002 AM,,,,,,3029.00,
6/23/2023 4:20:13.518 AM,892.00,,,,,,
6/23/2023 4:20:14.518 AM,,,,,,3030.00,
6/23/2023 4:20:24.611 AM,,43.46,35.09,,-4.93,3024.00,111.70
6/23/2023 4:20:30.268 AM,,,,127.37,,,
6/23/2023 4:20:33.783 AM,890.00,,,,,,
6/23/2023 4:20:34.783 AM,,,,,-3.94,,
6/23/2023 4:20:40.393 AM,,42.11,34.29,149.69,-4.41,3025.00,111.25
6/23/2023 4:20:44.736 AM,,42.23,,144.61,-3.61,3027.00,111.61
6/23/2023 4:20:49.299 AM,889.00,,,,,,
6/23/2023 4:20:50.564 AM,,,34.20,,-4.84,,
